Image Pat,Time frame,IMU PITCH,GPS,
data/ 266.jpg,32533.98,0.174959,-0.09144,10.2108
data/ 267.jpg,32567.31,0.170142,-0.09144,10.2108
data/ 268.jpg,32600.64,0.167289,-0.09144,10.2108
data/ 269.jpg,32633.98,0.164653,-0.09144,10.2108
data/ 270.jpg,32667.31,0.166041,-0.09144,10.2108
data/ 271.jpg,32700.64,0.170177,-0.09144,10.2108
data/ 272.jpg,32733.98,0.178122,-0.09144,10.2108
data/ 273.jpg,32767.31,0.174917,-0.09144,10.2108
data/ 274.jpg,32800.64,0.1708,-0.09144,10.2108
data/ 275.jpg,32833.97,0.161201,-0.09144,10.2108
data/ 276.jpg,32867.3,0.153614,-0.09144,10.2108
data/ 277.jpg,32900.63,0.167409,-0.09144,10.2108
data/ 278.jpg,32933.97,0.163512,-0.09144,10.2108
data/ 279.jpg,32967.3,0.164142,-0.09144,10.2108
data/ 280.jpg,33000.63,0.163377,-0.09144,10.2108
data/ 281.jpg,33033.97,0.166319,-0.09144,10.2108
data/ 282.jpg,33067.3,0.154726,-0.09144,10.2108
data/ 283.jpg,33100.63,0.160832,-0.09144,10.2108
data/ 284.jpg,33133.97,0.163197,-0.09144,10.2108
data/ 285.jpg,33167.29,0.168882,-0.09144,10.2108
data/ 286.jpg,33200.62,0.165001,-0.09144,10.2108
data/ 287.jpg,33233.96,0.166925,-0.09144,10.2108
data/ 288.jpg,33267.29,0.151854,-0.09144,10.2108
data/ 289.jpg,33300.62,0.158651,-0.09144,10.2108
data/ 290.jpg,33333.96,0.156135,-0.09144,10.2108
data/ 291.jpg,33367.29,0.154154,-0.09144,10.2108
data/ 292.jpg,33400.62,0.158729,-0.09144,10.2108
data/ 293.jpg,33433.96,0.163285,-0.09144,10.2108
data/ 294.jpg,33467.29,0.155647,-0.09144,10.2108
data/ 295.jpg,33500.61,0.14829,-0.09144,10.2108
data/ 296.jpg,33533.95,0.147462,-0.09144,10.2108
data/ 297.jpg,33567.28,0.139348,-0.09144,10.2108
data/ 298.jpg,33600.61,0.148064,-0.09144,10.2108
data/ 299.jpg,33633.95,0.158172,-0.09144,10.2108
data/ 300.jpg,33667.28,0.165208,-0.09144,10.2108
data/ 301.jpg,33700.61,0.169088,-0.09144,10.2108
data/ 302.jpg,33733.95,0.166333,-0.09144,10.2108
data/ 303.jpg,33767.28,0.17307,-0.09144,10.2108
data/ 304.jpg,33800.61,0.179282,-0.09144,10.2108
data/ 305.jpg,33833.94,0.169494,-0.09144,10.2108
data/ 306.jpg,33867.27,0.163715,-0.09144,10.2108
data/ 307.jpg,33900.6,0.169483,-0.09144,10.2108
data/ 308.jpg,33933.94,0.165404,-0.09144,10.2108
data/ 309.jpg,33967.27,0.161953,-0.09144,10.2108
data/ 310.jpg,34000.6,0.167171,-0.09144,10.2108
data/ 311.jpg,34033.94,0.174562,-0.09144,10.2108
data/ 312.jpg,34067.27,0.182193,-0.09144,10.2108
data/ 313.jpg,34100.6,0.188332,-0.09144,10.2108
data/ 314.jpg,34133.94,0.185972,-0.09144,10.2108
data/ 315.jpg,34167.26,0.192714,-0.09144,10.2108
data/ 316.jpg,34200.59,0.196227,-0.09144,10.2108
data/ 317.jpg,34233.93,0.194323,-0.09144,10.2108
data/ 318.jpg,34267.26,0.193541,-0.09144,10.2108
data/ 319.jpg,34300.59,0.209936,-0.09144,10.2108
data/ 320.jpg,34333.93,0.209762,-0.09144,10.2108
data/ 321.jpg,34367.26,0.213071,-0.09144,10.2108
data/ 322.jpg,34400.59,0.208755,-0.09144,10.2108
data/ 323.jpg,34433.93,0.208964,-0.09144,10.2108
data/ 324.jpg,34467.26,0.198142,-0.12192,10.18032
data/ 325.jpg,34500.58,0.201569,-0.12192,10.18032
data/ 326.jpg,34533.92,0.207952,-0.12192,10.18032
data/ 327.jpg,34567.25,0.206344,-0.12192,10.18032
data/ 328.jpg,34600.58,0.206032,-0.12192,10.18032
data/ 329.jpg,34633.92,0.198464,-0.12192,10.18032
data/ 330.jpg,34667.25,0.192815,-0.12192,10.18032
data/ 331.jpg,34700.58,0.198807,-0.12192,10.18032
data/ 332.jpg,34733.92,0.188972,-0.12192,10.18032
data/ 333.jpg,34767.25,0.187048,-0.12192,10.18032
data/ 334.jpg,34800.58,0.183971,-0.12192,10.18032
data/ 335.jpg,34833.91,0.181615,-0.12192,10.18032
data/ 336.jpg,34867.24,0.183871,-0.12192,10.18032
data/ 337.jpg,34900.57,0.178975,-0.12192,10.18032
data/ 338.jpg,34933.91,0.174521,-0.12192,10.18032
data/ 339.jpg,34967.24,0.171527,-0.12192,10.18032
data/ 340.jpg,35000.57,0.163746,-0.12192,10.18032
data/ 341.jpg,35033.91,0.164874,-0.12192,10.18032
data/ 342.jpg,35067.24,0.161702,-0.12192,10.18032
data/ 343.jpg,35100.57,0.159819,-0.12192,10.18032
data/ 344.jpg,35133.91,0.156729,-0.12192,10.18032
data/ 345.jpg,35167.23,0.164357,-0.12192,10.18032
data/ 346.jpg,35200.56,0.168295,-0.12192,10.18032
data/ 347.jpg,35233.9,0.167984,-0.12192,10.18032
data/ 348.jpg,35267.23,0.165044,-0.12192,10.18032
data/ 349.jpg,35300.56,0.169196,-0.12192,10.18032
data/ 350.jpg,35333.9,0.170415,-0.12192,10.18032
data/ 351.jpg,35367.23,0.172603,-0.12192,10.18032
data/ 352.jpg,35400.56,0.179897,-0.12192,10.18032
data/ 353.jpg,35433.9,0.179538,-0.12192,10.18032
data/ 354.jpg,35467.23,0.185507,-0.12192,10.18032
data/ 355.jpg,35500.55,0.188025,-0.12192,10.18032
data/ 356.jpg,35533.89,0.187039,-0.12192,10.18032
data/ 357.jpg,35567.22,0.17403,-0.12192,10.18032
data/ 358.jpg,35600.55,0.176844,-0.12192,10.18032
data/ 359.jpg,35633.89,0.181998,-0.12192,10.18032
data/ 360.jpg,35667.22,0.181821,-0.12192,10.18032
data/ 361.jpg,35700.55,0.18056,-0.12192,10.18032
data/ 362.jpg,35733.89,0.191638,-0.12192,10.18032
data/ 363.jpg,35767.22,0.184031,-0.12192,10.18032
data/ 364.jpg,35800.55,0.174157,-0.12192,10.18032
data/ 365.jpg,35833.88,0.172149,-0.12192,10.18032
data/ 366.jpg,35867.21,0.171785,-0.12192,10.18032
data/ 367.jpg,35900.54,0.166904,-0.12192,10.18032
data/ 368.jpg,35933.88,0.171857,-0.12192,10.18032
data/ 369.jpg,35967.21,0.178577,-0.12192,10.18032
data/ 370.jpg,36000.54,0.174914,-0.12192,10.18032
data/ 371.jpg,36033.88,0.170293,-0.12192,10.18032
data/ 372.jpg,36067.21,0.171432,-0.12192,10.18032
data/ 373.jpg,36100.54,0.182658,-0.12192,10.18032
data/ 374.jpg,36133.88,0.184373,-0.12192,10.18032
data/ 375.jpg,36167.2,0.180799,-0.12192,10.18032
data/ 376.jpg,36200.53,0.175514,-0.12192,10.18032
data/ 377.jpg,36233.87,0.176476,-0.12192,10.18032
data/ 378.jpg,36267.2,0.18917,-0.12192,10.18032
data/ 379.jpg,36300.53,0.179035,-0.12192,10.18032
data/ 380.jpg,36333.87,0.186336,-0.12192,10.18032
data/ 381.jpg,36367.2,0.18759,-0.12192,10.18032
data/ 382.jpg,36400.53,0.191458,-0.12192,10.18032
data/ 383.jpg,36433.87,0.194367,-0.12192,10.18032
data/ 384.jpg,36467.2,0.195379,-0.12192,10.18032
data/ 385.jpg,36500.52,0.189703,-0.12192,10.18032
data/ 386.jpg,36533.86,0.193469,-0.12192,10.18032
data/ 387.jpg,36567.19,0.213677,-0.12192,10.18032
data/ 388.jpg,36600.52,0.209388,-0.12192,10.18032
data/ 389.jpg,36633.86,0.215395,-0.12192,10.18032
data/ 390.jpg,36667.19,0.212766,-0.12192,10.18032
data/ 391.jpg,36700.52,0.206217,-0.12192,10.18032
data/ 392.jpg,36733.86,0.198721,-0.12192,10.18032
data/ 393.jpg,36767.19,0.201749,-0.12192,10.18032
data/ 394.jpg,36800.52,0.19996,-0.12192,10.18032
data/ 395.jpg,36833.85,0.196965,-0.12192,10.18032
data/ 396.jpg,36867.18,0.196473,-0.12192,10.18032
data/ 397.jpg,36900.51,0.187865,-0.12192,10.18032
data/ 398.jpg,36933.85,0.198259,-0.12192,10.18032
data/ 399.jpg,36967.18,0.200093,-0.12192,10.18032
data/ 400.jpg,37000.51,0.216582,-0.12192,10.18032
data/ 401.jpg,37033.85,0.2098,-0.12192,10.18032
data/ 402.jpg,37067.18,0.220405,-0.12192,10.18032
data/ 403.jpg,37100.51,0.220199,-0.12192,10.18032
data/ 404.jpg,37133.85,0.222446,-0.12192,10.18032
data/ 405.jpg,37167.17,0.235253,-0.12192,10.18032
data/ 406.jpg,37200.5,0.229446,-0.12192,10.18032
data/ 407.jpg,37233.84,0.222278,-0.12192,10.18032
data/ 408.jpg,37267.17,0.220667,-0.12192,10.18032
data/ 409.jpg,37300.5,0.225335,-0.12192,10.18032
data/ 410.jpg,37333.84,0.222812,-0.12192,10.18032
data/ 411.jpg,37367.17,0.233224,-0.12192,10.18032
data/ 412.jpg,37400.5,0.230712,-0.12192,10.18032
data/ 413.jpg,37433.84,0.24253,-0.12192,10.18032
data/ 414.jpg,37467.17,0.231008,-0.1524,10.14984
data/ 415.jpg,37500.49,0.245704,-0.1524,10.14984
data/ 416.jpg,37533.83,0.239584,-0.1524,10.14984
data/ 417.jpg,37567.16,0.239404,-0.1524,10.14984
data/ 418.jpg,37600.49,0.246266,-0.1524,10.14984
data/ 419.jpg,37633.83,0.246503,-0.1524,10.14984
data/ 420.jpg,37667.16,0.245048,-0.1524,10.14984
data/ 421.jpg,37700.49,0.233588,-0.1524,10.14984
data/ 422.jpg,37733.83,0.231372,-0.1524,10.14984
data/ 423.jpg,37767.16,0.219855,-0.1524,10.14984
data/ 424.jpg,37800.49,0.214064,-0.1524,10.14984
data/ 425.jpg,37833.82,0.2102,-0.1524,10.14984
data/ 426.jpg,37867.15,0.214571,-0.1524,10.14984
data/ 427.jpg,37900.48,0.214251,-0.1524,10.14984
data/ 428.jpg,37933.82,0.208474,-0.1524,10.14984
data/ 429.jpg,37967.15,0.217656,-0.1524,10.14984
data/ 430.jpg,38000.48,0.212171,-0.1524,10.14984
data/ 431.jpg,38033.82,0.211782,-0.1524,10.14984
data/ 432.jpg,38067.15,0.210273,-0.1524,10.14984
data/ 433.jpg,38100.48,0.202853,-0.1524,10.14984
data/ 434.jpg,38133.82,0.199158,-0.1524,10.14984
data/ 435.jpg,38167.14,0.195789,-0.1524,10.14984
data/ 436.jpg,38200.47,0.192283,-0.1524,10.14984
data/ 437.jpg,38233.81,0.19044,-0.1524,10.14984
data/ 438.jpg,38267.14,0.184174,-0.1524,10.14984
data/ 439.jpg,38300.47,0.185682,-0.1524,10.14984
data/ 440.jpg,38333.81,0.193625,-0.1524,10.14984
data/ 441.jpg,38367.14,0.190709,-0.1524,10.14984
data/ 442.jpg,38400.47,0.19667,-0.1524,10.14984
data/ 443.jpg,38433.81,0.185644,-0.1524,10.14984
data/ 444.jpg,38467.14,0.18234,-0.1524,10.14984
data/ 445.jpg,38500.46,0.174556,-0.1524,10.14984
data/ 446.jpg,38533.8,0.169049,-0.1524,10.14984
data/ 447.jpg,38567.13,0.165475,-0.1524,10.14984
data/ 448.jpg,38600.46,0.16705,-0.1524,10.14984
data/ 449.jpg,38633.8,0.164507,-0.1524,10.14984
data/ 450.jpg,38667.13,0.165868,-0.1524,10.14984
